date,preclose,open,high,low,close,volume,amount,chg,chg.per
20100429,4714.432,4730.49,4758.76,4560.131,4561.4,4829340000,61768626853,-153.032,-3.246
20100430,4561.4,4540.652,4547.479,4350.147,4438.681,4381965400,52914755825,-122.719,-2.6904
20100504,4438.681,4353.452,4484.46,4324.504,4434.131,3183759200,38342487781,-4.55,-0.1025
20100505,4434.131,4388.503,4565.239,4377.384,4564.807,4329849800,52253378389,130.676,2.947
20100506,4564.807,4557.446,4583.184,4418.739,4419.781,4498350100,56440157404,-145.026,-3.177
20100507,4419.781,4313.653,4443.534,4285.466,4350.758,4221155000,51186643794,-69.023,-1.5617
20100510,4350.758,4346.702,4391.034,4175.665,4269.108,4019215900,48639016180,-81.65,-1.8767
20100511,4269.108,4350.771,4366.687,4134.601,4144.352,4002581100,46663576767,-124.756,-2.9223
20100512,4144.352,4100.604,4154.475,3979.128,4042.516,3657183500,40741384941,-101.836,-2.4572
20100513,4042.516,4042.315,4158.347,3974.102,4157.842,3651686200,39490389650,115.326,2.8528
20100514,4157.842,4129.892,4217.607,4107.176,4184.841,3694244000,41610102842,26.999,0.6494
20100517,4184.841,4125.661,4132.379,3915.752,3915.752,3760313200,39602984900,-269.089,-6.4301
20100518,3915.752,3894.094,3983.876,3818.29,3972.154,3771298400,38354955844,56.402,1.4404
20100519,3972.154,3946.148,4037.847,3908.64,3977.377,3496051800,38905012669,5.223,0.1315
20100520,3977.377,3941.61,4025.803,3890.352,3901.257,3343432300,36236233019,-76.12,-1.9138
20100521,3901.257,3787.15,3982.412,3768.097,3982.385,4023081300,42753884532,81.128,2.0795
20100524,3982.385,4016.351,4170.729,4016.351,4163.477,5441927700,60753309591,181.092,4.5473
20100525,4163.477,4134.931,4177.786,4087.096,4133.346,4745101800,52304015443,-30.131,-0.7237
20100526,4133.346,4117.49,4165.29,4097.242,4144.662,3422970900,38841485138,11.316,0.2738
20100527,4144.662,4133.325,4228.444,4083.622,4218.637,4365236000,48762064055,73.975,1.7848
20100528,4218.637,4254.849,4270.167,4203.488,4235.322,4531411200,52262340190,16.685,0.3955
20100531,4235.322,4214.623,4259.164,4104.364,4104.364,4140822100,47203412501,-130.958,-3.092
20100601,4104.364,4059.415,4091.441,3933.393,4025.789,3874619100,42575448426,-78.575,-1.9144
20100602,4025.789,4004.128,4084.048,3960.335,4083.616,3270879900,36130463054,57.827,1.4364
20100603,4083.616,4099.855,4146.656,4053.546,4053.985,3754352700,42725068381,-29.631,-0.7256
20100604,4053.985,4025.277,4095.486,4013.969,4089.035,3141512500,33892589784,35.05,0.8646
20100607,4089.035,4000.65,4082.379,3985.146,4072.568,3497036200,39400706503,-16.467,-0.4027
20100608,4072.568,4064.784,4122.39,4047.819,4109.317,3423959600,39553668851,36.749,0.9024
20100609,4109.317,4124.807,4212.175,4110.434,4211.881,4755827200,51971223690,102.564,2.4959
20100610,4211.881,4191.293,4261.161,4176.428,4223.566,4188617100,47912147685,11.685,0.2774
20100611,4223.566,4239.059,4252.102,4193.082,4197.995,3441800600,39693577498,-25.571,-0.6054
20100617,4197.995,4221.599,4237.101,4144.069,4145.243,2899836200,33319315253,-52.752,-1.2566
20100618,4145.243,4131.677,4131.677,3945.727,3972.286,3504262300,39210162367,-172.957,-4.1724
20100621,3972.286,3960.25,4087.447,3924.415,4087.017,3508624200,35971325346,114.731,2.8883
20100622,4087.017,4081.642,4136.592,4069.225,4119.722,3461653800,36241607659,32.705,0.8002
20100623,4119.722,4098.259,4138.777,4039.925,4094.568,3126797700,33133837622,-25.154,-0.6106
20100624,4094.568,4090.974,4120.84,4070.488,4095.295,2497078700,26862635502,0.727,0.0178
20100625,4095.295,4079.192,4080.023,3992.374,4028.433,2580171500,27972975200,-66.862,-1.6327
20100628,4028.433,4023.107,4036.429,3944.47,3961.382,2111946900,22859221297,-67.051,-1.6644
20100629,3961.382,3960.676,3973.927,3735.119,3736.982,3357564300,34397653349,-224.4,-5.6647
20100630,3736.982,3699.181,3701.331,3620.274,3664.464,2553734000,25464503259,-72.518,-1.9405
20100701,3664.464,3657.956,3692.903,3604.357,3606.593,2246347000,22874780218,-57.871,-1.5792
20100702,3606.593,3600.76,3609.002,3430.361,3585.576,3087686800,30480515074,-21.017,-0.5827
20100705,3585.576,3535.741,3586.578,3498.903,3563.882,2248425300,21552278648,-21.694,-0.605
20100706,3563.882,3556.19,3665.379,3554.071,3665.334,2959201200,28857800432,101.452,2.8467
20100707,3665.334,3672.15,3718.931,3656.298,3718.662,2894769300,28317325926,53.328,1.4549
20100708,3718.662,3729.238,3736.51,3663.731,3698.342,2779247100,26639094854,-20.32,-0.5464
20100709,3698.342,3699.313,3817.669,3677.338,3807.604,4073329500,40142143493,109.262,2.9544
20100712,3807.604,3809.747,3866.782,3799.429,3849.52,4001443600,39210785672,41.916,1.1008
20100713,3849.52,3816.463,3816.463,3747.396,3788.751,3444529500,34351843348,-60.769,-1.5786
20100714,3788.751,3795.211,3862.386,3795.176,3824.046,3540965900,35487587420,35.295,0.9316
20100715,3824.046,3817.178,3850.196,3735.285,3735.395,3271061200,32298131893,-88.651,-2.3183
